Date,30327_listings,30312_listings,30327_cuts,30312_cuts,30327_price,30312_price,30327_ptr,30312_ptr
2018-10-31,316.0,142.0,18.0203045685279,17.7272727272727,1450000.0,407659.0,15.86,14.61
2018-11-30,296.0,131.0,17.7595628415301,14.2131979695431,1445000.0,415000.0,16.24,14.53
2018-12-31,267.0,129.0,5.32544378698225,8.95522388059701,1495000.0,421500.0,16.27,14.24
2019-01-31,267.0,131.0,12.5714285714286,17.6767676767677,1450000.0,425994.0,16.34,14.17
2019-02-28,313.0,137.0,14.9100257069409,10.952380952381,1449000.0,424000.0,16.18,14.19
2019-03-31,316.0,136.0,16.2100456621005,16.8831168831169,1335000.0,415953.0,16.13,14.38
2019-04-30,327.0,150.0,21.123595505618,16.2393162393162,1300000.0,399000.0,16.1,14.48
2019-05-31,357.0,191.0,24.0343347639485,16.8458781362007,1295000.0,419450.0,7.02,13.76
2019-06-30,326.0,171.0,18.609865470852,21.8867924528302,1262500.0,405000.0,6.94,13.6
2019-07-31,326.0,190.0,21.7183770883055,14.5833333333333,1295000.0,399000.0,6.95,13.52
2019-08-31,304.0,173.0,19.6560196560197,19.9248120300752,1287000.0,399950.0,,
2019-09-30,321.0,190.0,24.0694789081886,17.6470588235294,1199000.0,400000.0,,
2019-10-31,329.0,196.0,21.9512195121951,29.0441176470588,1250000.0,396500.0,,
2019-11-30,304.0,182.0,13.1443298969072,21.031746031746,1249000.0,385900.0,,
2019-12-31,271.0,139.0,8.67052023121387,15.0485436893204,1249900.0,385900.0,,
2020-01-31,283.0,151.0,,,,,,
2020-02-29,296.0,123.0,,,,,,
2020-03-31,300.0,144.0,,,,,,
