,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
25,30327,Atlanta,Fulton,1249900.0,308.92636810000005,,1.7112889869999999,709450.0,778.0,55.0,37.0,75.88,23.78,8.670520231,6.95,4.4721,37.8,1088157.0,4343.0,3.5,6.1,0.0,5.8,0.0,0.3,0.8,16.5
26,30328,Atlanta,Fulton,430525.0,201.70859040000002,2200.0,1.288336874,272925.0,402.0,79.0,73.0,48.12,50.66,15.20190024,14.03,3.3605,38.9,462176.0,2267.0,8.9,13.6,0.3,11.5,0.0,0.9,1.6,36.8
30,30339,Atlanta,Fulton,399900.0,202.28838280000002,2200.0,1.143099069,278200.0,409.0,81.0,63.0,77.06,22.17,15.78947368,6.47,3.0835,55.3,361313.0,2048.0,6.9,19.5,0.0,15.8,0.0,0.4,2.5,45.1
31,30342,Atlanta,Fulton,649500.0,249.78279759999998,3045.0,1.527050611,449850.0,1414.0,58.0,51.0,75.22,24.31,13.7704918,8.95,4.9005,35.9,660488.0,2876.0,22.7,9.3,0.0,5.2,0.0,0.0,1.6,38.8
41,30062,Marietta,Cobb,392000.0,171.13946330000002,1900.0,0.9600062540000001,294700.0,208.0,84.0,82.0,40.32,58.2,13.01020408,15.45,5.2002,34.4,359353.0,1929.0,7.3,12.4,0.4,8.8,0.0,0.2,2.7,31.8
43,30064,Marietta,Cobb,369900.0,141.9281949,1645.0,0.942180375,242750.0,142.0,87.0,74.0,64.69,33.94,10.21671827,9.81,5.3434,46.8,318583.0,1775.0,7.8,22.1,0.0,2.4,0.2,0.2,2.0,34.7
45,30066,Marietta,Cobb,342249.5,151.7172524,1650.0,0.9259259259999999,264000.0,258.0,81.0,79.0,43.05,55.81,15.24926686,14.43,5.2586,41.0,283518.0,1680.0,8.1,12.2,0.0,7.0,0.0,0.4,2.0,29.7
46,30067,Marietta,Cobb,375000.0,166.8686281,1400.0,1.024881517,166900.0,159.0,51.0,42.0,51.01,47.79,14.62264151,11.15,5.9437,50.4,290189.0,1627.0,9.5,28.2,0.3,6.3,0.0,0.4,2.3,47.0
47,30068,Marietta,Cobb,450000.0,181.8783069,2300.0,1.015625,360750.0,172.0,49.0,38.0,69.77,28.72,14.9122807,10.99,5.2568,22.5,445754.0,2343.0,6.6,6.1,0.2,7.6,0.2,0.3,1.7,22.7
53,30101,Acworth,Cobb,309950.0,132.6764902,1550.0,0.8883872509999999,219915.0,276.0,88.0,77.0,53.14,45.44,13.27014218,10.86,5.6143,54.9,276694.0,1628.0,7.4,17.7,0.0,2.5,0.0,0.4,2.3,30.3
