Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,% Hispanic,% Black,% Native American,% Asian,% Pacific Islander,% Other Race,% Two Races,% Minority
30308,Atlanta,Fulton,335000,334.2070773,1850,1.965962441,234600,324,55,59,44.64,54.35,7.346938776,13.83,3.3762,58.6,309580,1802,6.6,31.2,0.2,5.9,0,0.5,1.8,46.2
30309,Atlanta,Fulton,434950,335.2856919,2000,2.081784387,265000,518,83,72,42.14,57.06,13.73056995,14.6,3.7944,37.9,354915,1996,3.9,14,0.4,7.9,0.1,0.3,2.8,29.4
30310,Atlanta,Fulton,216700,166.2388393,1395,1.035995856,119750,237,69,68,2.1,97.73,21.58054711,37.76,5.7966,110.8,236996,1374,1.7,88.6,0.1,0.3,0,0,2,92.7
30311,Atlanta,Fulton,194900,131.6049383,1300,0.920846395,58230.7692,137,36,33,8.08,91.62,17.06161137,21.66,4.2222,96.8,205449,1381,3.9,94.2,0.1,0.2,0,0,0.4,98.8
30312,Atlanta,Fulton,385900,269.3696121,2290,1.71641791,245025,476,28,39,50.52,48.08,15.04854369,13.52,4.0278,69.1,374145,1912,4.3,49.5,0,3.1,0,0.1,2.5,59.5
30313,Atlanta,Fulton,300000,214.5776567,,,181882.3529,221,14,12,40.22,58.77,18.03278689,15.15,2.9292,88.8,284853,1727,6.1,38.3,0,15.5,0.1,0.1,2.5,62.6
30314,Atlanta,Fulton,,,1300,1.149665552,35000,167,52,42,3.76,96.09,15.34653465,26.59,5.05,123.5,183600,1297,2.4,86.7,0,2.2,0,0.2,1.1,92.6
30315,Atlanta,Fulton,,,1292.5,1.135885771,125250,254,59,59,11.8,87.92,13.2183908,30.8,4.1796,117.8,164376,1301,7.2,79.4,0.1,0.5,0,0.3,1.2,88.7
30316,Atlanta,Fulton,339810.5,222.7722772,1700,1.434210071,276790,356,103,82,46.15,52.76,13.61702128,14,6.875,16.4,327716,1631,4.9,52.3,0.3,1.7,0,0.3,2.8,62.3
30318,Atlanta,Fulton,345000,203.3594613,1600,1.333333333,257750,318,107,94,26.2,73.22,12.39669421,21.99,4.8536,67,267538,1602,5.1,52.7,0.1,6.1,0.1,0.2,2.3,66.6
30324,Atlanta,Fulton,427900,235.8490566,2014,1.475237092,259425,283,63,54,60.26,38.55,11.74603175,11.01,5.6514,34.5,444480,2078,10.8,16,0.2,10.2,0,0.7,3.8,41.7
30327,Atlanta,Fulton,1249900,308.9263681,,1.711288987,709450,778,55,37,75.88,23.78,8.670520231,6.95,4.4721,37.8,1088157,4343,3.5,6.1,0,5.8,0,0.3,0.8,16.5
30328,Atlanta,Fulton,430525,201.7085904,2200,1.288336874,272925,402,79,73,48.12,50.66,15.20190024,14.03,3.3605,38.9,462176,2267,8.9,13.6,0.3,11.5,0,0.9,1.6,36.8
30331,Atlanta,Fulton,215000,108.5924258,1395,0.938521242,145750,108,81,74,21.31,78.14,12.85714286,19.87,0.8307,150.9,186278,1435,2,95.4,0.3,0.1,0,0,0.8,98.6
30336,Atlanta,Fulton,,,,,,112,,,98.48484848,0,,15.87,0.7143,,182838,1393,5.1,82.4,0,1.3,0,0,2.5,91.3
30337,Atlanta,Fulton,279900,153.0612245,,,134497,-270,13,12,17.54,81.92,12.28070175,22.21,4.406,66.3,201898,1370,5.2,79.2,0.3,0.2,0,0,0.8,85.7
30339,Atlanta,Fulton,399900,202.2883828,2200,1.143099069,278200,409,81,63,77.06,22.17,15.78947368,6.47,3.0835,55.3,361313,2048,6.9,19.5,0,15.8,0,0.4,2.5,45.1
30342,Atlanta,Fulton,649500,249.7827976,3045,1.527050611,449850,1414,58,51,75.22,24.31,13.7704918,8.95,4.9005,35.9,660488,2876,22.7,9.3,0,5.2,0,0,1.6,38.8
30344,Atlanta,Fulton,176900,134.8385247,1200,0.961538462,118185,189,75,59,5.49,94.32,15.87301587,25.15,5.2481,102.6,176627,1298,10.1,74.9,0,1.4,0,0.1,1.2,87.7
30349,Atlanta,Fulton,185000,96.93888889,1395,0.817948718,108455,128,81,78,12.17,87.42,7.910750507,25.31,1.4238,247.2,163519,1361,2.9,91.2,0.1,0.5,0,0.3,2,97
30350,Atlanta,Fulton,539000,165.4896552,1600,1.060447778,340950,513,45,39,36.2,62.83,11.46788991,18.39,3.0716,34.7,431131,2059,13.1,33,0.3,3.5,0,0.3,2.5,52.7
30354,Atlanta,Fulton,,119.3839238,1125,0.995,89600,130,27,29,4.15,95.72,13.63636364,28.41,4.4003,91.2,160190,1272,7.6,72.9,0,1.2,0,2.3,3.5,87.5
30006,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30007,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30008,Marietta,Cobb,236700,127.4872449,1380,0.886928105,151400,161,37,37,25.91,72.65,5.479452055,13.33,5.1998,81.8,196966,1408,32.4,38.3,0,2,0,0.5,3,76.2
30060,Marietta,Cobb,290000,166.923571,1395,1.045008934,177585,179,36,34,19.61,79.69,12.90322581,19.22,4.8835,76.9,197747,1408,36.8,28.7,0,2.1,0.1,0.7,1.5,69.9
30061,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30062,Marietta,Cobb,392000,171.1394633,1900,0.960006254,294700,208,84,82,40.32,58.2,13.01020408,15.45,5.2002,34.4,359353,1929,7.3,12.4,0.4,8.8,0,0.2,2.7,31.8
30063,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30064,Marietta,Cobb,369900,141.9281949,1645,0.942180375,242750,142,87,74,64.69,33.94,10.21671827,9.81,5.3434,46.8,318583,1775,7.8,22.1,0,2.4,0.2,0.2,2,34.7
30065,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30066,Marietta,Cobb,342249.5,151.7172524,1650,0.925925926,264000,258,81,79,43.05,55.81,15.24926686,14.43,5.2586,41,283518,1680,8.1,12.2,0,7,0,0.4,2,29.7
30067,Marietta,Cobb,375000,166.8686281,1400,1.024881517,166900,159,51,42,51.01,47.79,14.62264151,11.15,5.9437,50.4,290189,1627,9.5,28.2,0.3,6.3,0,0.4,2.3,47
30068,Marietta,Cobb,450000,181.8783069,2300,1.015625,360750,172,49,38,69.77,28.72,14.9122807,10.99,5.2568,22.5,445754,2343,6.6,6.1,0.2,7.6,0.2,0.3,1.7,22.7
30069,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30080,Smyrna,Cobb,368000,176.4728534,1525,1.096438032,273600,224,109,92,54.32,44.46,13.69294606,10.81,6.6093,39.7,308570,1631,16.1,29.3,0.1,8.2,0.1,0.2,2.4,56.4
30081,Smyrna,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30082,Smyrna,Cobb,329950,157.8646583,1525,1.034482759,269225,265,49,47,50.06,48.76,23.76681614,11.88,6.2453,36.4,306599,1723,15.2,33.2,0,7.3,0,0,1.7,57.4
30090,Marietta,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30101,Acworth,Cobb,309950,132.6764902,1550,0.888387251,219915,276,88,77,53.14,45.44,13.27014218,10.86,5.6143,54.9,276694,1628,7.4,17.7,0,2.5,0,0.4,2.3,30.3
30106,Austell,Cobb,195000,115.4123711,1477,0.869079812,122650,119,18,18,15.46,83.99,9.183673469,15.31,4.184,85.8,186056,1394,11.8,55,0,1.8,0,0,1.2,69.8
30111,Clarkdale,Cobb,,,,,,91,,,,,,,4.4444,,159157,1270,,,,,,,,
30126,Mableton,Cobb,282765,136.0805301,1545,0.902258903,238600,349,76,72,38.54,60.5,13.07692308,13.05,5.7923,65.9,246847,1567,17.1,42.3,0,2.3,0,0.3,3.3,65.3
30127,Powder Springs,Cobb,279307,127.993177,1495,0.914351852,184350,150,92,88,44.33,54.25,17.16101695,11.57,5.0805,232.8,228315,1503,8.3,41.8,0.2,2.2,0,0.2,2.3,55
30144,Kennesaw,Cobb,255000,130.784912,1575,0.896937509,191250,180,56,57,53.09,45.58,11.34453782,10.52,5.7266,59.8,243369,1546,11.9,19.7,0.4,4.6,0,0.6,3.2,40.4
30152,Kennesaw,Cobb,325000,136.2201201,1550,0.926248548,253590,127,73,59,73.9,24.65,12.08333333,8.75,5.6666,45.9,299345,1721,9,18.2,0.1,5.1,0,0.4,2.5,35.3
30156,Kennesaw,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30160,Kennesaw,Cobb,,,,,,,,,,,,,,,,,,,,,,,,
30168,Austell,Cobb,172450,105.2631579,1360,0.866666667,102500,113,16,18,24.76,73.73,10.14492754,11.82,4.3176,120.6,172902,1343,22.2,61,0,0.5,0,0.1,0.6,84.4
30002,Avondale Estates,Dekalb,565000,206.5741749,,,213035.2941,206,15,11,70.49,28.47,32.0754717,7.92,6.8934,58.6,388316,1869,3.8,33.8,0,4.2,0,0.7,2.3,44.8
30021,Clarkston,Dekalb,200000,110.1882296,,,130000,140,11,11,53.18,46.08,32.60869565,7.91,4.7293,84.7,190494,1302,2.9,49.4,0.8,31.7,0.8,0.1,2.7,88.4
30030,Decatur,Dekalb,485000,267.0286508,1550,1.484071428,435850,112,54,43,71.96,27.28,16.66666667,7.79,6.1084,45.3,505933,2273,4,22.3,0.4,5.1,0,0.4,3,35.2
30032,Decatur,Dekalb,235450,156.4669164,1395,1.127144526,136550,168,102,88,30.01,69.11,16.46825397,13.03,6.327,129.4,210585,1326,3,83,0.3,0.5,0,0.6,3.2,90.6
30033,Decatur,Dekalb,420000,207.7030812,1795,1.331967213,282250,458,68,55,90.29,9.46,18,6.01,6.1047,72,363500,1843,6.7,12.2,0.4,14.9,0,0.1,3.4,37.7
30034,Decatur,Dekalb,158308.5,90.6379621,1330,0.797717907,86875,97,53,45,8.85,90.81,13.30798479,17.73,3.3139,603.4,168002,1302,1.3,94.5,0,0.4,0,0.2,1.6,98
30035,Decatur,Dekalb,154999,90.42539832,1350,0.892857143,71775,100,14,16,35.3,63.72,9.649122807,10.45,3.2599,,164080,1270,2.3,90.1,0.8,1.5,0,0.5,1.5,96.7
30038,Lithonia,Dekalb,150000,81.81818182,1277.5,0.804791469,123750,52,69,66,41.75,57.56,8.417508418,10.59,3.7245,144.2,161209,1283,1.1,93.4,0.3,0.2,0,0.1,0.8,95.9
30058,Lithonia,Dekalb,175000,94.59106045,1345,0.831877955,117080,138,66,56,31.85,67.15,11.33144476,10.96,3.194,132,157689,1285,2.9,90.2,0.2,0.9,0,1.4,1.9,97.5
30079,Scottdale,Dekalb,,,,,285500,156,,,55.44,44.04,,8.65,4.2848,71.4,205616,1361,1,49.4,0,15.7,0,0,8.2,74.3
30083,Stone Mountain,Dekalb,169900,93.7183384,1297,0.814938133,104225,138,51,46,34.5,64.42,8.943089431,11.62,4.4472,110.3,166658,1277,3.6,79.2,0,3.6,0,0.5,1.8,88.7
30084,Tucker,Dekalb,259900,142.8010985,1600,0.93373494,195225,144,46,51,64.83,34.41,13.15789474,9.54,5.0713,32.1,261692,1562,20.5,20.9,0.1,11.8,0,0.5,3.7,57.5
30087,Stone Mountain,Dekalb,232450,100.4332141,1480,0.771763952,159250,201,52,49,48.63,50.02,14.85943775,10.95,3.9812,65.8,225748,1537,5.5,61.2,0.1,3.6,0,0.5,1.5,72.4
30088,Stone Mountain,Dekalb,150000,88.42754935,1295,0.843189467,85050,190,33,32,30.99,68.01,13.95348837,11.44,4.3018,141.8,158798,1268,2.8,89.5,0,2.1,0,0,1.2,95.6
30294,Ellenwood,Dekalb,190900,91.37055838,1397,0.854008104,110985,140,32,39,29.24,70.22,12.75510204,14.76,3.2614,1033.7,182870,1366,4.6,84.5,0,2.1,0,0.2,1.3,92.7
30317,Atlanta,Dekalb,440000,264.5269974,1895,1.357006999,320965,-320,31,28,75.22,24.03,16.75977654,7.84,8.4483,0.3,426044,1917,3.6,45.3,0,2.1,0,0.2,3.2,54.4
30319,Atlanta,Dekalb,529400,238.5436311,2500,1.570336991,469485,435,124,95,86.52,13.03,11.25827815,6.87,6.7583,33.1,560972,2558,10.9,7.7,0.2,6.8,0,0.4,1.7,27.7
30329,Atlanta,Dekalb,448535,208.9225374,2000,1.279338932,273275,243,21,18,93.52,6.05,9.821428571,5.93,4.2786,28.7,422336,2141,33.3,15.4,0.2,8,0,0.2,2.8,59.9
30338,Atlanta,Dekalb,465000,201.1986301,2250,1.19047619,417425,196,56,45,91.65,7.97,12.15469613,6.31,5.119,22.5,497474,2581,5.4,11.5,0.2,14.7,0,0.2,1.9,33.9
30340,Atlanta,Dekalb,297950,154.8392902,,,264425,328,18,22,46.71,52.47,16.83168317,12.92,5.0376,143.9,277284,1691,44.3,16.6,0.4,12,0,0.9,1.3,75.5
30341,Atlanta,Dekalb,440595,189.3795252,2000,1.293802226,257300,208,70,57,73.95,25.15,7.482993197,9.97,6.1612,105.9,382500,1937,26.9,15.6,0.5,10,0,0.4,2.8,56.2
30345,Atlanta,Dekalb,459900,207.149893,2275,,391175,220,25,21,92.93,6.77,18.5840708,6.03,5.7129,,467752,2259,22.3,22.4,0.2,6,0,0.2,2.9,54
30346,Atlanta,Dekalb,499672.5,227.4624277,,,338120,306,,,99.4047619,0.595238095,,4.74,8.9855,,382909,1847,4.5,20,0,27.1,0,0,0,51.6
30360,Atlanta,Dekalb,398345,171.1783439,,,279185,174,22,18,69.11,29.91,32.25806452,9.61,5.1653,25.3,360123,1848,34.3,14.8,0.2,8.2,0.2,0.9,1.6,60.2
30017,Grayson,Gwinnett,295000,105.7527694,1495,0.722021661,205350,238,31,29,47.01,52.17,10.10638298,12.58,5.2693,72.3,278626,1669,5.8,31.7,0.5,5.3,0,0.1,2,45.4
30019,Dacula,Gwinnett,315900,112.5136215,1745,0.742722603,215835,173,88,82,41.63,57.6,12.78195489,14.66,5.3264,77.3,284367,1690,10.5,22.3,0.3,4.3,0,0,2.6,40
30024,Suwanee,Gwinnett,399900,145.8590455,1900,0.795729251,320850,316,144,120,58.81,40.31,13.16998469,11.55,5.5137,42.5,377060,1970,7.2,9.4,0.2,22.9,0,0.9,2.1,42.7
30039,Snellville,Gwinnett,224900,96.15212528,1495,0.766129032,163625,403,57,57,30.05,68.89,11.95219124,15.67,4.9384,90,218356,1498,7.4,62.1,0,3.2,0.1,0.8,1.5,75.1
30043,Lawrenceville,Gwinnett,275000,113.916205,1600,0.785083415,195415,542,120,111,31.38,67.35,10.13645224,14.82,5.6621,55.6,257385,1619,18.3,23,0.2,12.3,0,0.5,2,56.3
30044,Lawrenceville,Gwinnett,248350,115.8129176,1550,0.832406465,163000,694,86,83,16.21,83.22,10.49250535,20.83,4.8579,64.8,222925,1489,32.9,25.1,0.1,12.3,0.1,1,1.3,72.8
30045,Lawrenceville,Gwinnett,261014,109.4572679,1600,0.7769726,182365,673,58,57,46.98,51.86,12.01298701,12,5.0081,100.3,249034,1611,16.1,44,0.1,5.4,0,0.4,2.3,68.3
30046,Lawrenceville,Gwinnett,251000,116.1730271,1485,0.819549436,152175,549,47,46,23.99,75.22,6.392694064,15.68,4.7429,73.3,207691,1468,22.4,32.5,0,7.5,0,0.1,2.4,64.9
30047,Lilburn,Gwinnett,265000,114.7666412,1641,0.808769344,173200,307,82,73,39.57,58.79,14.96598639,13.49,4.3924,43.5,249165,1573,20.8,20.9,0.3,14.6,0.2,0.8,2.6,60.2
30071,Norcross,Gwinnett,275000,131.2718786,1520,0.84647561,152150,624,32,29,21.48,77.92,10.09174312,19.03,5.4419,70.5,211460,1470,46.3,19.1,0,10.3,0,0.6,1.7,78
30078,Snellville,Gwinnett,300800,119.6509009,1499,0.792572033,174115,350,57,57,15.57,84.12,10.97178683,54.83,5.5448,116.6,233604,1551,11.5,34,0.3,9,0,0.3,1.5,56.6
30092,Norcross,Gwinnett,393760,150,1515,0.917520602,312650,145,44,40,62.15,36.36,8.920187793,11.95,5.9577,31,372403,1900,14.6,24.6,0,9.1,0,0.1,1.8,50.2
30093,Norcross,Gwinnett,198785.5,119.1079574,1295,0.974576271,130550,269,23,23,16.45,83.02,9.433962264,20.91,4.7636,62,193620,1422,53.1,22.9,0.1,10.4,0,0.4,2.4,89.3
30096,Duluth,Gwinnett,300000,140.0720576,1595,0.875156582,182750,352,62,59,28.02,70.93,9.931506849,16.96,5.622,52.9,255389,1594,23.2,26.1,0.1,18.2,0,0.4,2.7,70.7
30518,Buford,Gwinnett,339900,135.3538051,1699,0.856265489,220955,119,66,72,52.8,45.98,14.44444444,11.78,5.7943,66.8,276158,1646,21.6,10.8,0,8.1,0,0,3,43.5
30519,Buford,Gwinnett,349900,121.0712199,1700,0.735294118,233550,246,96,83,47.98,51.05,12.16494845,12.72,6.0797,75,281495,1661,13.2,15.6,0.1,8.8,0,0,2.6,40.3
30102,Acworth,Cherokee,269870,130.5990617,1550,0.84376881,176695,248,50,52,63.36,35.69,13.52459016,9.27,5.0142,16,235654,1511,13.2,10.6,0.2,2.4,0,0.4,1.7,28.5
30107,Ball Ground,Cherokee,299900,144.1875401,,,189160,310,35,27,64.77,34.51,10.2189781,8.28,5.0105,135.5,277534,1565,1,0.7,0,1,0,0.3,2.7,5.7
30114,Canton,Cherokee,319657,133.3445196,1580,0.803623894,238150,855,111,96,63.17,35.92,12.58992806,8.66,6.4125,96.8,292446,1625,16.9,6.5,0,1.6,0,0.1,1.8,26.9
30115,Canton,Cherokee,365452.5,140.6286295,1675,0.791849015,256765,335,109,82,76.56,22.92,13.67521368,6.44,5.3271,66.5,328103,1735,7.4,2.1,0.1,1,0,0.3,0.9,11.8
30183,Waleska,Cherokee,325000,150.2373418,,,225235.2941,926,16,13,41.56,57.37,8.771929825,14.9,1.7309,81.4,290752,1506,1.8,4.5,0.3,0.7,0,0,6,13.3
30188,Woodstock,Cherokee,369900,152.3840117,1547.5,0.96458469,203800,294,154,126,71.89,27.43,11.13243762,7.2,5.4722,53,281300,1612,9,8.5,0.1,2.5,0,0.4,2.3,22.8
30189,Woodstock,Cherokee,307000,144.2938347,1732.5,0.836952538,232605,319,50,49,80.62,18.94,12.03703704,5.13,5.5178,65.5,283545,1664,7.2,7.1,0.1,2.1,0,0.1,1.5,18.1
30122,Lithia Springs,Douglas,214900,100.610054,1300,0.750877193,131445,0,13,19,13.09,86.68,14.70588235,34.96,3.612,130.6,166533,1288,13.3,52.4,0.4,1.9,0,0,0.9,68.9
30134,Douglasville,Douglas,199900,110.1694915,1349,0.89308652,140675,154,40,44,19.12,80.28,12.54752852,21.85,4.4972,65.6,175707,1300,7.8,44.2,0.1,1.4,0,0.1,1.2,54.8
30135,Douglasville,Douglas,230000,107.7625132,1399,0.842294943,156075,207,108,89,53.95,44.75,13.86363636,8.97,4.2353,113,201017,1422,8.1,41.9,0,1.3,0,0.1,1.4,52.8
30187,Winston,Douglas,259900,121.4163531,,,121911.7647,116,13,12,62.03,36.52,15.47619048,8.41,3.7014,41.4,217956,1406,3.8,14.4,0,1.8,0,0.2,2.3,22.5
30205,Brooks,Fayette,561000,167.3151751,,,,419,12,11,67.64,31.97,,7.91,3.1436,25.9,367288,2011,1.2,2.2,1.3,1.3,0,0,1.1,7.1
30214,Fayetteville,Fayette,299900,124.5636319,1005,0.840978593,177950,258,58,49,23.21,76.32,11.35371179,22.47,3.788,68.9,249776,1671,9.3,42.7,0,4,0.2,1.2,2.3,59.7
30215,Fayetteville,Fayette,399949.5,135.2163462,1510,0.912772981,231485,287,69,63,50.89,48.47,12.45551601,11.94,4.604,62.2,297103,1880,4.7,24.2,0.2,4.6,0,0.2,2.7,36.6
30269,Peachtree City,Fayette,387995,157.629256,2000,1.068616423,325960,252,56,43,12.35,87.45,10,37.72,5.714,36.1,360427,2095,7.8,6,0.2,5.5,0.1,0.2,2.6,22.4
30290,Tyrone,Fayette,379000,142.9292003,,,301841.1765,125,13,11,41.52,58.07,17.64705882,17.64,4.297,43.7,338644,2093,6.5,27.2,0.9,2.1,0,0.3,1.2,38.2
30236,Jonesboro,Clayton,189250,108.9239479,1254,0.917324618,97275,111,50,47,17.21,82.42,10.42345277,20.86,3.1422,1056.5,166009,1245,11.6,62.4,0,4.4,0,0,1.5,79.9
30238,Jonesboro,Clayton,159700,108.0405405,1195,0.968309859,64215,110,49,43,14.56,85.01,9.126984127,22.65,3.9927,579.7,146653,1144,11.2,71.4,0.3,3.2,0,0.1,3.2,89.4
30260,Morrow,Clayton,139700,111.3917781,1150,0.998670148,85311.7647,174,23,23,13.18,86.59,12.5,19.81,3.0657,280.3,133102,1103,13,52.9,0.3,19.5,0,0,2.1,87.8
30273,Rex,Clayton,150500,112.3522559,1150,0.800793923,124025,106,20,17,13.42,85.94,8.490566038,18.19,3.9946,134.9,147136,1184,13.7,64.3,0,2.8,0,3.6,1.2,85.6
30274,Riverdale,Clayton,124900,104.5981417,1065,0.936982645,56950,52,30,25,6.03,93.77,3.937007874,23.5,3.0735,187,120044,1082,,,,,,,,
30288,Conley,Clayton,115000,93.10475709,,,27000,97,,,14.61,84.89,,19.96,3.7527,43.7,138578,1208,12.6,75.7,0,0.8,0,0,2.7,91.8
30296,Riverdale,Clayton,159900,106.7038807,1212.5,1.010937112,88765,281,29,28,9.32,90.38,7.692307692,18.85,2.6583,107.9,152112,1210,8,83.1,0.2,2.2,0,0.2,1.1,94.8
30297,Forest Park,Clayton,100000,96.91358025,985,0.952282474,47050,167,12,17,3.57,96.31,10.11235955,26.97,3.1428,128.1,87927,958,31.6,43.1,1.2,6.7,0,0.2,1.6,84.4
30228,Hampton,Henry,207900,104.4151367,1385,0.952549575,156715,168,57,51,32.26,66.84,9.052631579,14.93,5.2254,166.4,194178,1401,7.8,54.8,0,2.4,0,0.3,3,68.3
30248,Locust Grove,Henry,235900,100.2555395,1447,0.735976369,148895,99,58,55,26.15,72.94,9.840425532,16.85,6.7863,108.3,200900,1433,5.6,26.1,0,1.3,0,0.3,1.8,35.1
30252,Mcdonough,Henry,293945,105.7325275,1495,0.819979822,196985,112,103,92,25,74.22,13.59223301,18.66,6.4435,86.1,246812,1577,5.4,23.8,0.1,1.2,0,0.3,2.5,33.3
30253,Mcdonough,Henry,216499.5,98.33188433,1449,0.794763908,163550,135,87,93,23.66,75.79,9.009009009,21.2,5.3184,107.8,204702,1494,7.4,49.8,0.1,4.5,0,0,3.2,65
30281,Stockbridge,Henry,218900,98.76388889,1340,0.802055407,145150,129,76,70,17.21,82.39,9.382716049,26.49,4.4587,90.3,186181,1386,8.1,45.6,0.2,4.5,0,0.7,2.1,61.2
30012,Conyers,Rockdale,175950,95.21370855,1210,0.754916232,78500,233,49,40,7.82,92.04,12.30769231,76.15,4.007,92.6,154284,1251,18,44.5,0.2,1.3,0.8,0.1,0.8,65.7
30013,Conyers,Rockdale,239900,97.91440047,1195,0.769230769,137462.5,182,28,30,16.32,83.3,11.88118812,54.77,5.6095,85.3,198094,1384,7.8,62.6,0,2.3,0,0,2.1,74.8
30094,Conyers,Rockdale,216500,99.13205208,1365,0.838983051,161050,250,34,42,13.13,86.73,13.09090909,61.35,4.5754,67.4,200362,1397,6.1,50.5,0.1,2.3,0,0.3,2.3,61.6
