,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
56,30126,Mableton,Cobb,282765.0,136.0805301,1545.0,0.902258903,238600.0,349.0,76.0,72.0,38.54,60.5,13.07692308,13.05,5.7923,65.9,246847.0,1567.0,17.1,42.3,0.0,2.3,0.0,0.3,3.3,65.3
57,30127,Powder Springs,Cobb,279307.0,127.993177,1495.0,0.914351852,184350.0,150.0,92.0,88.0,44.33,54.25,17.16101695,11.57,5.0805,232.8,228315.0,1503.0,8.3,41.8,0.2,2.2,0.0,0.2,2.3,55.0
62,30168,Austell,Cobb,172450.0,105.26315790000001,1360.0,0.8666666670000001,102500.0,113.0,16.0,18.0,24.76,73.73,10.14492754,11.82,4.3176,120.6,172902.0,1343.0,22.2,61.0,0.0,0.5,0.0,0.1,0.6,84.4
64,30021,Clarkston,Dekalb,200000.0,110.18822959999999,,,130000.0,140.0,11.0,11.0,53.18,46.08,32.60869565,7.91,4.7293,84.7,190494.0,1302.0,2.9,49.4,0.8,31.7,0.8,0.1,2.7,88.4
66,30032,Decatur,Dekalb,235450.0,156.4669164,1395.0,1.127144526,136550.0,168.0,102.0,88.0,30.01,69.11,16.46825397,13.03,6.327000000000001,129.4,210585.0,1326.0,3.0,83.0,0.3,0.5,0.0,0.6,3.2,90.6
68,30034,Decatur,Dekalb,158308.5,90.6379621,1330.0,0.797717907,86875.0,97.0,53.0,45.0,8.85,90.81,13.30798479,17.73,3.3139,603.4,168002.0,1302.0,1.3,94.5,0.0,0.4,0.0,0.2,1.6,98.0
69,30035,Decatur,Dekalb,154999.0,90.42539832,1350.0,0.892857143,71775.0,100.0,14.0,16.0,35.3,63.72,9.649122807000001,10.45,3.2599,,164080.0,1270.0,2.3,90.1,0.8,1.5,0.0,0.5,1.5,96.7
70,30038,Lithonia,Dekalb,150000.0,81.81818182,1277.5,0.8047914690000001,123750.0,52.0,69.0,66.0,41.75,57.56,8.417508417999999,10.59,3.7245,144.2,161209.0,1283.0,1.1,93.4,0.3,0.2,0.0,0.1,0.8,95.9
71,30058,Lithonia,Dekalb,175000.0,94.59106045,1345.0,0.831877955,117080.0,138.0,66.0,56.0,31.85,67.15,11.33144476,10.96,3.194,132.0,157689.0,1285.0,2.9,90.2,0.2,0.9,0.0,1.4,1.9,97.5
72,30079,Scottdale,Dekalb,,,,,285500.0,156.0,,,55.44,44.04,,8.65,4.2848,71.4,205616.0,1361.0,1.0,49.4,0.0,15.7,0.0,0.0,8.2,74.3
